婼,nie/nia/thriak
離,lie/liè/lèi
籬,lie
醨,lie
罹,lie
璃,lie
酈,lie/lek
𣀷,lie/léi
驪,lie/lei
𪖂,lie
樆,lie
鸝,lie
鵹,lie
𪅆,lie
縭,lie
褵,lie
蘺,lie
䕻,lie/lèi
麗,lie/lèi
离,lie/thrie
䍦,lie
㰚,lie
蠡,lie/lua/léi
䅻,lie
孋,lie
漓,lie
灕,lie
𧕯,lie/srie
㷰,lie/thrie
𧕮,lie
攡,lie
黐,lie/thrie
矖,lie/srié
穲,lie
𢟢,lie
𢥗,lie
謧,lie/lei
劙,lie/léi/lèi
疵,dzie
骴,dzie/dziè
玼,dzie/chié/chéi
茈,dzie/dzre/cié
𣐑,dzie
胔,dzie/dziè
飺,dzie
鴜,dzie/cie
貲,cie
頿,cie
𪕊,cie
鮆,cie
訾,cie/cié
鄑,cie
㠿,cie
媊,cie/cién
𨚖,cie
㰣,cie/ciè
鈭,cie/chie
姕,cie/chie
𦺱,cie
䖪,cie
觜,cie/cie/cyé
羈,krie
畸,krie
羇,krie
掎,krie/krié/khriè
妓,krie/grié
躸,krie
卑,pie
鵯,pie
椑,pie/bei/biek/bek
箄,pie/pei/pié
裨,pie/bie
鞞,pie/bei/pié/péŋ
𩔹,pie
痺,pie
渒,pie/phèi
錍,pie/phei
𢃍,pie
陴,bie
𩫫,bie
焷,bie
脾,bie
䴽,bie
埤,bie
蜱,bie/mieu
𧓎,bie
螷,bie/bréŋ
蠯,bie/bre/bréŋ
𪌈,bie
紕,bie/phi/thiə́
䌳,shie/sie/thie
絁,shie
施,shie/shiè
葹,shie
䙾,shie
鍦,shie/dia/shiè
鉈,shie/dia
鸍,shie/mie
𪓿,shie
䗐,shie/shiè
𧠜,shie
𢻫,shie
斯,sie
虒,sie
𩆵,sie/sèn
榹,sie
㴲,sie
廝,sie
㒋,sie
凘,sie
磃,sie
㾷,sie/sei
傂,sie/drie/drié
謕,sie/dei/thei
鼶,sie/dei
𪆁,sie
蟴,sie
㽄,sie/sei
䫢,sie
䔮,sie
菥,sie/sek
𥕶,sie
蜤,sie
燍,sie
禠,sie
鐁,sie
差,chrie/chre/chrei/chra/chrè
嵯,chrie
𪙉,chrie
縒,chrie/sá/chak
摛,thrie
螭,thrie
誺,thrie/thrì/thriə̀/lə̀i
魑,thrie
𡴥,thrie
彲,thrie
彌,mie
𢏏,mie
镾,mie
䍘,mie
𨤐,mie
𥉓,mie/met
㣆,mie
獼,mie
𥸀,mie
擟,mie
麊,mie
冞,mie
㜷,mie
䥸,mie
𥎖,mie
瀰,mie/mié/néi
雌,chie
𦙼,chie
𦍧,chie
知,trie
䵹,trie
鼅,trie
蜘,trie
䣽,trie
䝷,trie
漪,qrie
猗,qrie/qrié
椅,qrie/qrié
旖,qrie/qrié
禕,qrie
陭,qrie/qriè
欹,qrie
㾨,qrie/khrié
犄,qrie
𩕲,qrie
檹,qrie
馳,drie
趍,drie/chyo
池,drie/da
篪,drie
䶵,drie
踟,drie
褫,drie/drié/thrié/thriə́
䪧,drie
䶔,drie
誃,drie/thié
䞾,drie
危,ŋrye
㕒,ŋrye
洈,ŋrye/kryé
峗,ŋrye
釃,srie/srio/srié
簁,srie/srié
欐,srie/léi/lèi
襹,srie/sriè
褷,srie
籭,srie/sre
䪎,srye/sui
䭨,srye/shyèi
䬐,nye
厜,cie
纗,cie/ghuei/jyè/ghruèi
惢,cie/dzyé/suá
嫢,cie/gýi/ghén
㭰,cie/cye/cyé
𩓸,kye
𩓡,kye
槻,kye
規,kye
鬹,kye
𨾚,kye
摫,kye
劑,cye/dzèi
𦸺,cye
臇,cye/cyén
𤎱,cye/cyén
㷷,cye
衰,chrye/sryi
夊,chrye/syi
腄,trye/ghyu/dryè
箠,trye/tyé
㩾,trye
䮔,cye/tyé
齜,crie
䔺,jye/jyé
𩁌,jye
蠵,jye/ghuei
欈,jye
𧲚,jye
䝐,jye/jyé
